sample_id,fold_id,patch_index,source_image_relative_path,source_image_array_sha256,patch_shape,patch_dtype,canonical_patch_sha256,perceptual_average_hash,perceptual_hash_size
pannuke-fold-1-patch-000000,1,0,Fold 1/images/fold1/images.npy,32b7de139650ecc07907072cb2cc45de69cd5e51b8252bd69eff271554ec324b,"[256,256,3]",<f8,17f6dec41f0ca7eb428107c847b4a3f3bde1adc2992a25f60d328001f6844c6e,cceddf7d991928c9,8
pannuke-fold-1-patch-000001,1,1,Fold 1/images/fold1/images.npy,32b7de139650ecc07907072cb2cc45de69cd5e51b8252bd69eff271554ec324b,"[256,256,3]",<f8,fb34c824c062728c515832b6b14fcdab68c3b5b14f6fc396059ae1c85314cf60,42e07f1f071f0f99,8
pannuke-fold-1-patch-000002,1,2,Fold 1/images/fold1/images.npy,32b7de139650ecc07907072cb2cc45de69cd5e51b8252bd69eff271554ec324b,"[256,256,3]",<f8,cb95f7088f94f80d107fcc91b8776c873cb81701c65510dfc026bd13523a0cc1,cf9d32e47472a3b6,8
pannuke-fold-1-patch-000003,1,3,Fold 1/images/fold1/images.npy,32b7de139650ecc07907072cb2cc45de69cd5e51b8252bd69eff271554ec324b,"[256,256,3]",<f8,4bf31c79e58bbbb874da4cae3ef6a2d3eff4bcd9f0bf4b2af3a2dad80837fa30,70386184e5e8c2c7,8
pannuke-fold-1-patch-000004,1,4,Fold 1/images/fold1/images.npy,32b7de139650ecc07907072cb2cc45de69cd5e51b8252bd69eff271554ec324b,"[256,256,3]",<f8,10ba2d4ab78c2798b67fdab00ef51c63334ddc71f5fe96936df9f9bb71e863d3,3bbd030b810cfcf8,8
pannuke-fold-1-patch-000005,1,5,Fold 1/images/fold1/images.npy,32b7de139650ecc07907072cb2cc45de69cd5e51b8252bd69eff271554ec324b,"[256,256,3]",<f8,b212a11893c4d2672836025e509491f664f7a6bd605820f5518ca0952efca3d7,97c8c0f737737f4e,8
pannuke-fold-1-patch-000006,1,6,Fold 1/images/fold1/images.npy,32b7de139650ecc07907072cb2cc45de69cd5e51b8252bd69eff271554ec324b,"[256,256,3]",<f8,f69c1b644dbe5272c9b8c5fc4d612848aedce9567759301bf54949375efaf74b,f936fec4d8ef8181,8
pannuke-fold-1-patch-000007,1,7,Fold 1/images/fold1/images.npy,32b7de139650ecc07907072cb2cc45de69cd5e51b8252bd69eff271554ec324b,"[256,256,3]",<f8,02127ec132e41648a1e9a622267afc8359abc39e2b26133a5909bbd2bfdfa449,fbde8400043fbcff,8
pannuke-fold-1-patch-000008,1,8,Fold 1/images/fold1/images.npy,32b7de139650ecc07907072cb2cc45de69cd5e51b8252bd69eff271554ec324b,"[256,256,3]",<f8,0548cb6c02f94ea30ee96897f7fcda611211dd87079859c37b2c5c25ad00d72f,3b5998e0e140d45d,8
pannuke-fold-1-patch-000009,1,9,Fold 1/images/fold1/images.npy,32b7de139650ecc07907072cb2cc45de69cd5e51b8252bd69eff271554ec324b,"[256,256,3]",<f8,bc79ed71fb247eff47c8ea7d1575b0292439e179f4505564147c9aa5996de3aa,80834f2693187cb9,8
