relative_path,size_bytes,sha256,fold_id,file_kind
.gitkeep,82,55fbcbe801a5bee5a90bac5de5e3202cbad9e1e7546745cf15eadd2990f0efb7,,file
Fold 1/README.md,2146,822161f414a8dceda0eeadac17256b2a9f24e33ddc01bbb2c8da49e2dc6c0667,1,md
Fold 1/images/fold1/images.npy,4177526912,32b7de139650ecc07907072cb2cc45de69cd5e51b8252bd69eff271554ec324b,1,npy
Fold 1/images/fold1/types.npy,138240,64746d127bc28e88be6fdc4639af4f21a91fb1fda00e68869ea5fe61a574f615,1,npy
Fold 1/masks/README.md,1253,40c496eccea58d74bddf4a4b8674366c21e3b2b53c62cd12777eaa09e811b876,1,md
Fold 1/masks/by-nc-sa.md,19089,3e976176dec037ecb34de78f6b67040dee8d015915d702854c6c8b2308fcb557,1,md
Fold 1/masks/fold1/masks.npy,8355053696,31d9817cd3cddef742157f79d53eb80e37844a30b2b44c8c98825b476b4245b2,1,npy
Fold 2/README.md,2127,959c804b969013fca21362f33a547db7edc7775a96355f99714217ac0144ebdb,2,md
Fold 2/images/fold2/images.npy,3968336000,ff0c1b68b1f1019b78a2e70d04b04326d1c5334d65b8aed31f50f6835a61d61d,2,npy
Fold 2/images/fold2/types.npy,131324,8a960439d4dbe09b762f2c5ba81ee0476dd4ab2e6007a9c246ede30d0327356c,2,npy
Fold 2/masks/README.md,1270,26e1c75af0d0129ec6ae786d2aca0b05b9bd4cf22c9036d9239d6f04e7d465ed,2,md
Fold 2/masks/by-nc-sa.md,19089,3e976176dec037ecb34de78f6b67040dee8d015915d702854c6c8b2308fcb557,2,md
Fold 2/masks/fold2/masks.npy,7936671872,e8e8c8c1406c0368befb617bea52ec23b623f8196e4d46e4e6eb893446ae03af,2,npy
Fold 3/README.md,2146,9ddb68726215fb117406f23c6cb9018f589b7893d7e92aaf25745f577b69d336,3,md
Fold 3/images/fold3/images.npy,4281335936,cc9112bd54e4cf49d8cf3886163196263ef5dfe3341e6967940c6bd976ad7bf9,3,npy
Fold 3/images/fold3/types.npy,141672,b8f0b3b5b0cf9e4024c939c8b1bc6333745f1e6827f6f15cd3a635e8546ec736,3,npy
Fold 3/masks/README.md,1253,40c496eccea58d74bddf4a4b8674366c21e3b2b53c62cd12777eaa09e811b876,3,md
Fold 3/masks/by-nc-sa.md,19089,3e976176dec037ecb34de78f6b67040dee8d015915d702854c6c8b2308fcb557,3,md
Fold 3/masks/fold3/masks.npy,8562671744,79c36441a2fc8ff3a01404cd059a6c36bce3b8343838f3a5961f6f6dff15fa4c,3,npy
fold_1.zip,700275281,6e19ad380300e8ce9480f9ab6a14cc91fa4b6a511609b40e3d70bdf9c881ed0b,1,archive
fold_2.zip,658842552,5bc540cc509f64b5f5a274d6e5a245527dbd3e6d3155d43555115c5d54709b07,2,archive
fold_3.zip,717969882,c14d372981c42f611ebc80afad01702b89cad8c1b3089daa31931cf5a4b1a39d,3,archive
