fold_id,patch_index,instance_id,class_indices,class_names,class_count,touches_cross_class_overlap,same_id_spatial_overlap_pixels_all_listed_classes
1,1479,7,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1480,10,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1480,95,2;4,connective_soft_tissue;non_neoplastic_epithelial,2,False,0
1,1482,1,0;3,neoplastic;dead,2,False,0
1,1482,182,0;3,neoplastic;dead,2,False,0
1,1483,9,2;4,connective_soft_tissue;non_neoplastic_epithelial,2,False,0
1,1483,14,1;4,inflammatory;non_neoplastic_epithelial,2,False,0
1,1483,29,1;4,inflammatory;non_neoplastic_epithelial,2,False,0
1,1483,51,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1483,78,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1483,81,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1483,98,2;4,connective_soft_tissue;non_neoplastic_epithelial,2,False,0
1,1483,148,2;4,connective_soft_tissue;non_neoplastic_epithelial,2,False,0
1,1484,50,1;4,inflammatory;non_neoplastic_epithelial,2,False,0
1,1485,152,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1485,401,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1485,461,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1486,15,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1486,44,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1486,81,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1486,106,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1486,133,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1486,257,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1486,324,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1486,325,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1486,513,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1486,549,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1486,573,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1487,58,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1487,191,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1487,236,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1487,430,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1487,509,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1487,583,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1492,8,0;1,neoplastic;inflammatory,2,False,0
1,1494,11,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1500,15,0;2,neoplastic;connective_soft_tissue,2,False,0
1,1501,1,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1501,20,0;2,neoplastic;connective_soft_tissue,2,False,0
1,1504,131,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1505,62,0;2,neoplastic;connective_soft_tissue,2,False,0
1,1506,14,0;1,neoplastic;inflammatory,2,False,0
1,1506,51,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1506,81,0;1,neoplastic;inflammatory,2,False,0
1,1506,122,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1506,166,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1508,36,0;1,neoplastic;inflammatory,2,False,0
1,1508,37,0;2,neoplastic;connective_soft_tissue,2,False,0
1,1514,7,0;2,neoplastic;connective_soft_tissue,2,False,0
1,1517,2,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1518,138,1;2,inflammatory;connective_soft_tissue,2,False,0
1,1519,85,1;2,inflammatory;connective_soft_tissue,2,False,0
1,2592,34,2;4,connective_soft_tissue;non_neoplastic_epithelial,2,False,0
1,2592,117,2;4,connective_soft_tissue;non_neoplastic_epithelial,2,False,0
1,2592,137,2;4,connective_soft_tissue;non_neoplastic_epithelial,2,False,0
1,2592,216,1;4,inflammatory;non_neoplastic_epithelial,2,False,0
1,2592,241,2;4,connective_soft_tissue;non_neoplastic_epithelial,2,False,0
1,2593,115,1;2,inflammatory;connective_soft_tissue,2,False,0
1,2593,150,1;2,inflammatory;connective_soft_tissue,2,False,0
1,2593,180,1;4,inflammatory;non_neoplastic_epithelial,2,False,0
1,2593,183,2;4,connective_soft_tissue;non_neoplastic_epithelial,2,False,0
1,2593,295,2;4,connective_soft_tissue;non_neoplastic_epithelial,2,False,0
1,2594,151,1;2,inflammatory;connective_soft_tissue,2,False,0
1,2594,214,1;4,inflammatory;non_neoplastic_epithelial,2,False,0
1,2594,237,1;4,inflammatory;non_neoplastic_epithelial,2,False,0
1,2594,277,1;4,inflammatory;non_neoplastic_epithelial,2,False,0
1,2598,2,1;2,inflammatory;connective_soft_tissue,2,False,0
1,2598,32,1;2,inflammatory;connective_soft_tissue,2,False,0
1,2599,19,0;2,neoplastic;connective_soft_tissue,2,False,0
1,2603,72,0;2,neoplastic;connective_soft_tissue,2,False,0
1,2605,27,1;2,inflammatory;connective_soft_tissue,2,False,0
1,2605,28,1;2,inflammatory;connective_soft_tissue,2,False,0
1,2608,29,0;2,neoplastic;connective_soft_tissue,2,False,0
1,2610,216,1;2,inflammatory;connective_soft_tissue,2,False,0
1,2610,242,1;2,inflammatory;connective_soft_tissue,2,False,0
1,2611,73,1;2,inflammatory;connective_soft_tissue,2,False,0
1,2612,122,1;2,inflammatory;connective_soft_tissue,2,False,0
1,2613,20,2;3,connective_soft_tissue;dead,2,False,0
1,2613,35,0;3,neoplastic;dead,2,False,0
1,2613,42,0;3,neoplastic;dead,2,False,0
1,2613,51,0;3,neoplastic;dead,2,False,0
1,2614,10,0;1,neoplastic;inflammatory,2,False,0
1,2615,31,1;2,inflammatory;connective_soft_tissue,2,False,0
1,2617,25,0;2,neoplastic;connective_soft_tissue,2,False,0
1,2617,51,0;2,neoplastic;connective_soft_tissue,2,False,0
1,2617,243,0;2,neoplastic;connective_soft_tissue,2,False,0
1,2618,265,0;2,neoplastic;connective_soft_tissue,2,False,0
1,2620,1,1;2,inflammatory;connective_soft_tissue,2,False,0
1,2620,22,1;4,inflammatory;non_neoplastic_epithelial,2,False,0
1,2622,30,2;4,connective_soft_tissue;non_neoplastic_epithelial,2,False,0
1,2624,92,0;2,neoplastic;connective_soft_tissue,2,False,0
1,2624,136,0;2,neoplastic;connective_soft_tissue,2,False,0
1,2633,116,0;2,neoplastic;connective_soft_tissue,2,False,0
1,2634,6,0;2,neoplastic;connective_soft_tissue,2,False,0
1,2634,11,1;2,inflammatory;connective_soft_tissue,2,False,0
1,2634,24,1;2,inflammatory;connective_soft_tissue,2,False,0
1,2634,26,1;2,inflammatory;connective_soft_tissue,2,False,0
1,2635,31,1;2,inflammatory;connective_soft_tissue,2,False,0
1,2642,15,2;4,connective_soft_tissue;non_neoplastic_epithelial,2,False,0
1,2642,20,1;2,inflammatory;connective_soft_tissue,2,False,0
1,2642,43,2;4,connective_soft_tissue;non_neoplastic_epithelial,2,False,0
1,2642,50,1;2,inflammatory;connective_soft_tissue,2,False,0
